epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.1427,1.0065,3.01687,1.24113,0.01062,0.96176,0.36514,0.22437,0.91467,3.05712,1.04326,0.000405983,0.000405983,0.000405983
2,24.5751,1.14661,2.03088,1.31205,0.58684,0.41402,0.4439,0.28249,0.99398,2.3762,1.10986,0.000781928,0.000781928,0.000781928
3,31.5233,1.13999,1.69783,1.28706,0.50188,0.56791,0.54518,0.33979,1.06393,2.13059,1.16427,0.00111662,0.00111662,0.00111662
4,38.5356,1.10602,1.58779,1.25898,0.44615,0.57273,0.60356,0.37322,1.04255,1.99222,1.17353,0.00106437,0.00106437,0.00106437
5,45.4886,1.09006,1.47923,1.25455,0.42431,0.59127,0.47927,0.28972,1.18842,2.32438,1.35387,0.0010025,0.0010025,0.0010025
6,52.5028,1.05492,1.45777,1.23842,0.64427,0.56075,0.60585,0.36757,1.122,1.81524,1.20834,0.000940625,0.000940625,0.000940625
7,59.4404,1.00332,1.3915,1.2017,0.6242,0.63669,0.66909,0.43774,0.99053,1.57876,1.12017,0.00087875,0.00087875,0.00087875
8,66.3897,0.97525,1.30711,1.19855,0.74836,0.58205,0.70169,0.47596,0.9896,1.4458,1.10559,0.000816875,0.000816875,0.000816875
9,73.3368,0.91924,1.20175,1.17278,0.52497,0.73108,0.68872,0.48233,0.94442,1.58801,1.07731,0.000755,0.000755,0.000755
10,80.3284,0.90872,1.17224,1.16333,0.79191,0.73364,0.81391,0.57382,0.88318,1.02398,1.02826,0.000693125,0.000693125,0.000693125
11,111.194,0.69067,0.94694,1.00438,0.57398,0.74352,0.76684,0.52156,0.89886,1.28187,1.07779,0.00063125,0.00063125,0.00063125
12,118.188,0.65032,0.82158,0.99024,0.66539,0.67736,0.70777,0.50587,0.81225,1.39505,1.03122,0.000569375,0.000569375,0.000569375
13,125.137,0.61737,0.76927,0.98228,0.75622,0.65328,0.7532,0.53246,0.85518,1.20933,1.03441,0.0005075,0.0005075,0.0005075
14,132.08,0.59918,0.70679,0.98016,0.71405,0.75848,0.79278,0.61291,0.78496,1.00669,1.00478,0.000445625,0.000445625,0.000445625
15,138.989,0.56182,0.65507,0.94992,0.80883,0.75385,0.83322,0.63642,0.75622,0.9024,0.99331,0.00038375,0.00038375,0.00038375
16,145.925,0.52267,0.55891,0.92968,0.74761,0.82851,0.8187,0.6346,0.72489,0.96286,0.97382,0.000321875,0.000321875,0.000321875
17,152.869,0.50156,0.53583,0.92344,0.80995,0.75994,0.81445,0.63993,0.75749,0.86994,1.00319,0.00026,0.00026,0.00026
18,159.772,0.45795,0.51446,0.90863,0.76044,0.77348,0.81569,0.63697,0.76128,0.97311,1.01128,0.000198125,0.000198125,0.000198125
19,166.697,0.44505,0.485,0.90279,0.79405,0.79041,0.84042,0.65663,0.70157,0.82794,0.97451,0.00013625,0.00013625,0.00013625
20,173.601,0.42131,0.4471,0.89563,0.84479,0.79223,0.8621,0.6712,0.68672,0.79612,0.97085,7.4375e-05,7.4375e-05,7.4375e-05
