epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.8263,1.05372,1.91765,1.30096,0.41722,0.51767,0.44756,0.27564,1.01835,2.0767,1.23841,0.000413996,0.000413996,0.000413996
2,37.5216,1.21761,1.67593,1.40464,0.38036,0.29984,0.28061,0.13329,1.93431,2.67909,2.06587,0.000803251,0.000803251,0.000803251
3,55.9254,1.24727,1.67941,1.43246,0.48496,0.60339,0.49447,0.30457,1.24414,1.85493,1.39711,0.00116501,0.00116501,0.00116501
4,74.4085,1.25616,1.65508,1.41702,0.57826,0.5811,0.55672,0.34783,1.23339,1.69718,1.34225,0.00112625,0.00112625,0.00112625
5,92.9501,1.20404,1.54432,1.38988,0.52312,0.64155,0.61708,0.37032,1.21886,1.52433,1.28674,0.001085,0.001085,0.001085
6,111.547,1.13949,1.44935,1.35779,0.63895,0.61859,0.64245,0.41439,1.12036,1.6579,1.27634,0.00104375,0.00104375,0.00104375
7,130.199,1.13656,1.4465,1.36605,0.70637,0.64331,0.72451,0.47412,1.09354,1.29689,1.28136,0.0010025,0.0010025,0.0010025
8,148.782,1.10701,1.38665,1.33416,0.60514,0.70738,0.71442,0.50313,0.97294,1.16917,1.13292,0.00096125,0.00096125,0.00096125
9,167.288,1.08487,1.32993,1.32432,0.68092,0.67535,0.72855,0.48831,0.99957,1.22015,1.20999,0.00092,0.00092,0.00092
10,185.645,1.04671,1.30562,1.30302,0.62359,0.69057,0.71854,0.46085,1.06782,1.31101,1.24078,0.00087875,0.00087875,0.00087875
11,204.017,1.0139,1.24933,1.28999,0.62694,0.71648,0.73754,0.50168,0.97792,1.2231,1.17534,0.0008375,0.0008375,0.0008375
12,222.574,0.96099,1.19848,1.25708,0.55988,0.69329,0.68052,0.49214,0.9757,1.29321,1.1695,0.00079625,0.00079625,0.00079625
13,241.062,1.01854,1.19851,1.29835,0.63716,0.70664,0.70783,0.49771,1.03177,1.26689,1.21556,0.000755,0.000755,0.000755
14,259.475,0.93699,1.10667,1.24077,0.72904,0.78602,0.82764,0.60878,0.89343,0.88843,1.14739,0.00071375,0.00071375,0.00071375
15,278.228,0.92457,1.09435,1.2391,0.67926,0.73128,0.75019,0.53842,0.94659,1.18256,1.15103,0.0006725,0.0006725,0.0006725
16,296.621,0.92304,1.0766,1.23326,0.76549,0.75307,0.80777,0.57611,0.89642,0.99724,1.11648,0.00063125,0.00063125,0.00063125
17,315.057,0.89239,1.02149,1.21673,0.84068,0.67543,0.82665,0.61118,0.82758,0.90311,1.0866,0.00059,0.00059,0.00059
18,334.055,0.85044,0.97626,1.18786,0.77582,0.70828,0.83353,0.60036,0.85148,0.92682,1.1047,0.00054875,0.00054875,0.00054875
19,352.756,0.83821,0.95375,1.1867,0.67869,0.80596,0.81705,0.59204,0.87779,0.92245,1.09439,0.0005075,0.0005075,0.0005075
20,373.056,0.82153,0.94053,1.18955,0.70097,0.81035,0.82232,0.62022,0.83071,0.85742,1.08654,0.00046625,0.00046625,0.00046625
21,436.652,0.60094,0.66801,1.02222,0.7146,0.78501,0.81891,0.62673,0.80634,0.86942,1.10339,0.000425,0.000425,0.000425
22,455.171,0.58577,0.60629,1.00657,0.75886,0.74117,0.82516,0.59808,0.82068,0.98972,1.12498,0.00038375,0.00038375,0.00038375
23,473.627,0.54813,0.55168,0.97889,0.7425,0.79628,0.81787,0.62019,0.83889,0.89494,1.13491,0.0003425,0.0003425,0.0003425
24,491.927,0.52782,0.55888,0.97698,0.7291,0.85085,0.82988,0.62071,0.79335,0.86513,1.11383,0.00030125,0.00030125,0.00030125
25,510.282,0.49812,0.48589,0.94743,0.80718,0.7828,0.84311,0.65859,0.75055,0.82083,1.08348,0.00026,0.00026,0.00026
26,528.789,0.48906,0.44735,0.94949,0.81418,0.81477,0.87408,0.67806,0.75808,0.79377,1.08385,0.00021875,0.00021875,0.00021875
27,547.276,0.4485,0.42409,0.92908,0.82701,0.78075,0.8702,0.66444,0.74748,0.74,1.06153,0.0001775,0.0001775,0.0001775
28,565.632,0.44002,0.40608,0.92891,0.80003,0.80182,0.85172,0.67184,0.70459,0.79497,1.03009,0.00013625,0.00013625,0.00013625
29,583.981,0.42506,0.37842,0.9212,0.80848,0.80722,0.8712,0.67549,0.71819,0.74639,1.05488,9.5e-05,9.5e-05,9.5e-05
30,602.354,0.40898,0.35392,0.90508,0.8308,0.78209,0.87411,0.67553,0.719,0.75733,1.06221,5.375e-05,5.375e-05,5.375e-05
